<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
240118;000000;42.690.2000000;42.690.3000000;42.592.8000000;42.650.0000000;4
240118;001500;42.650.0000000;42.785.2000000;42.649.9000000;42.689.3000000;12
240118;003000;42.689.3000000;42.705.4000000;42.665.5000000;42.705.4000000;4
240118;004500;42.705.3000000;42.712.0000000;42.628.8000000;42.641.1000000;15
240118;010000;42.642.8000000;42.693.7000000;42.642.8000000;42.661.6000000;6
240118;011500;42.661.6000000;42.687.0000000;42.439.4000000;42.531.2000000;36
240118;013000;42.534.4000000;42.582.3000000;42.490.9000000;42.578.8000000;10
240118;014500;42.581.0000000;42.668.5000000;42.581.0000000;42.654.6000000;14
240118;020000;42.654.6000000;42.694.8000000;42.599.1000000;42.685.0000000;6
240118;021500;42.694.6000000;42.694.7000000;42.622.0000000;42.670.0000000;2
240118;023000;42.670.3000000;42.694.7000000;42.670.3000000;42.688.0000000;5
240118;024500;42.688.0000000;42.747.9000000;42.688.0000000;42.747.8000000;11
240118;030000;42.746.1000000;42.751.2000000;42.656.3000000;42.669.9000000;7
240118;031500;42.670.0000000;42.674.0000000;42.614.7000000;42.624.9000000;10
240118;033000;42.624.9000000;42.657.0000000;42.609.9000000;42.638.0000000;6
240118;034500;42.637.9000000;42.638.0000000;42.637.9000000;42.638.0000000;8
240118;040000;42.638.0000000;42.666.8000000;42.580.9000000;42.582.9000000;55
240118;041500;42.582.9000000;42.636.4000000;42.551.6000000;42.628.9000000;4
240118;043000;42.629.0000000;42.635.3000000;42.495.5000000;42.495.5000000;9
240118;044500;42.495.5000000;42.556.3000000;42.495.5000000;42.556.3000000;2
240118;050000;42.556.4000000;42.603.9000000;42.556.3000000;42.603.0000000;5
240118;051500;42.602.9000000;42.684.6000000;42.600.3000000;42.662.3000000;10
240118;053000;42.665.9000000;42.665.9000000;42.643.6000000;42.661.0000000;4
240118;054500;42.661.0000000;42.681.8000000;42.608.3000000;42.626.4000000;2
240118;060000;42.626.4000000;42.644.2000000;42.593.0000000;42.593.3000000;8
240118;061500;42.593.4000000;42.630.2000000;42.576.5000000;42.583.1000000;11
240118;063000;42.583.1000000;42.583.1000000;42.523.5000000;42.553.2000000;3
240118;064500;42.553.1000000;42.553.1000000;42.535.1000000;42.550.7000000;2
240118;070000;42.550.7000000;42.610.1000000;42.550.7000000;42.594.6000000;3
240118;071500;42.594.6000000;42.603.8000000;42.585.8000000;42.585.8000000;4
240118;073000;42.585.8000000;42.626.6000000;42.585.8000000;42.626.5000000;2
240118;074500;42.626.6000000;42.636.5000000;42.618.0000000;42.628.2000000;1
240118;080000;42.631.3000000;42.631.3000000;42.600.0000000;42.628.1000000;2
240118;081500;42.628.1000000;42.689.0000000;42.628.1000000;42.689.0000000;2
240118;083000;42.689.0000000;42.730.3000000;42.639.0000000;42.730.2000000;22
240118;084500;42.730.2000000;42.730.2000000;42.674.7000000;42.728.3000000;1
240118;090000;42.728.2000000;42.811.6000000;42.728.2000000;42.811.6000000;16
240118;091500;42.811.6000000;42.811.6000000;42.753.4000000;42.758.3000000;10
240118;093000;42.758.3000000;42.773.8000000;42.723.2000000;42.773.8000000;5
240118;094500;42.773.8000000;42.781.8000000;42.737.5000000;42.754.2000000;11
240118;100000;42.759.8000000;42.842.2000000;42.759.8000000;42.842.2000000;12
240118;101500;42.842.2000000;42.859.1000000;42.817.9000000;42.833.8000000;19
240118;103000;42.833.7000000;42.877.0000000;42.814.0000000;42.854.9000000;19
240118;104500;42.846.4000000;42.862.5000000;42.846.3000000;42.862.2000000;2
240118;110000;42.862.4000000;42.871.1000000;42.814.8000000;42.823.4000000;2
240118;111500;42.823.4000000;42.825.6000000;42.801.5000000;42.816.8000000;15
240118;113000;42.816.8000000;42.816.8000000;42.780.8000000;42.780.9000000;2
240118;114500;42.780.9000000;42.780.9000000;42.711.2000000;42.711.3000000;8
240118;120000;42.711.3000000;42.762.2000000;42.711.2000000;42.762.1000000;9
240118;121500;42.762.0000000;42.769.0000000;42.700.0000000;42.769.0000000;4
240118;123000;42.767.3000000;42.826.3000000;42.750.0000000;42.759.4000000;3
240118;124500;42.762.9000000;42.762.9000000;42.700.0000000;42.700.0000000;3
240118;130000;42.700.1000000;42.700.1000000;42.667.1000000;42.672.0000000;13
240118;131500;42.671.9000000;42.715.0000000;42.661.0000000;42.661.0000000;3
240118;133000;42.661.1000000;42.661.1000000;42.530.0000000;42.530.0000000;24
240118;134500;42.530.4000000;42.545.7000000;42.379.4000000;42.406.3000000;55
240118;140000;42.406.3000000;42.466.2000000;42.397.8000000;42.452.9000000;9
240118;141500;42.448.1000000;42.494.3000000;42.402.0000000;42.408.3000000;8
240118;143000;42.423.9000000;42.473.7000000;42.379.4000000;42.468.0000000;4
240118;144500;42.467.9000000;42.509.8000000;42.448.1000000;42.509.8000000;21
240118;150000;42.510.3000000;42.510.3000000;42.425.0000000;42.425.1000000;11
240118;151500;42.425.0000000;42.425.1000000;42.334.1000000;42.415.0000000;18
240118;153000;42.415.0000000;42.423.3000000;42.369.9000000;42.414.2000000;8
240118;154500;42.414.3000000;42.421.5000000;42.369.9000000;42.378.3000000;4
240118;160000;42.378.3000000;42.398.7000000;42.349.7000000;42.350.0000000;8
240118;161500;42.350.1000000;42.389.5000000;42.347.2000000;42.379.6000000;5
240118;163000;42.379.5000000;42.500.0000000;42.347.3000000;42.500.0000000;15
240118;164500;42.500.0000000;42.603.1000000;42.499.9000000;42.500.1000000;16
240118;170000;42.500.1000000;42.510.3000000;42.395.2000000;42.510.3000000;5
240118;171500;42.516.7000000;42.538.9000000;42.505.6000000;42.522.4000000;8
240118;173000;42.522.4000000;42.535.1000000;42.449.9000000;42.496.0000000;29
240118;174500;42.496.0000000;42.679.5000000;42.495.9000000;42.679.5000000;16
240118;180000;42.679.5000000;42.738.7000000;42.619.6000000;42.692.5000000;23
240118;181500;42.692.5000000;42.740.0000000;42.681.6000000;42.700.3000000;16
240118;183000;42.679.1000000;42.715.7000000;42.615.2000000;42.615.2000000;56
240118;184500;42.615.3000000;42.655.1000000;42.586.4000000;42.586.4000000;8
240118;190000;42.586.5000000;42.586.5000000;42.434.7000000;42.435.3000000;11
240118;191500;42.438.3000000;42.480.2000000;42.404.9000000;42.405.0000000;27
240118;193000;42.404.9000000;42.405.0000000;41.990.0000000;42.083.5000000;95
240118;194500;42.083.5000000;42.092.4000000;41.666.0000000;41.863.4000000;339
240118;200000;41.863.3000000;41.863.4000000;41.600.0000000;41.637.2000000;137
240118;201500;41.631.4000000;42.119.4000000;41.608.0000000;42.040.1000000;99
240118;203000;42.040.1000000;42.040.7000000;41.815.8000000;41.825.1000000;18
240118;204500;41.825.1000000;41.825.1000000;41.376.4000000;41.761.1000000;165
240118;210000;41.761.1000000;41.822.7000000;41.315.4000000;41.450.0000000;166
240118;211500;41.450.0000000;41.580.6000000;41.405.3000000;41.425.6000000;58
240118;213000;41.425.5000000;41.555.2000000;41.378.2000000;41.514.5000000;57
240118;214500;41.514.5000000;41.514.5000000;41.404.1000000;41.480.1000000;32
240118;220000;41.480.1000000;41.500.0000000;41.165.1000000;41.249.9000000;175
240118;221500;41.248.1000000;41.500.0000000;41.210.2000000;41.483.6000000;56
240118;223000;41.486.0000000;41.490.0000000;41.307.3000000;41.329.4000000;33
240118;224500;41.329.2000000;41.338.0000000;40.800.0000000;40.957.2000000;254
240118;230000;40.957.1000000;41.100.0000000;40.856.8000000;41.094.5000000;127
240118;231500;41.094.5000000;41.100.0000000;40.786.0000000;40.800.0000000;62
240118;233000;40.800.0000000;40.929.0000000;40.625.0000000;40.920.0000000;155
240118;234500;40.920.1000000;41.240.7000000;40.759.1000000;40.759.1000000;255
240119;000000;40.767.2000000;40.967.9000000;40.756.5000000;40.863.9000000;47
240119;001500;40.863.9000000;41.013.5000000;40.728.8000000;40.969.1000000;45
240119;003000;40.969.1000000;41.101.5000000;40.780.7000000;41.095.6000000;90
240119;004500;41.095.5000000;41.199.3000000;41.067.8000000;41.072.9000000;20
240119;010000;41.072.8000000;41.245.6000000;41.029.9000000;41.219.9000000;37
240119;011500;41.220.0000000;41.254.0000000;41.160.3000000;41.160.3000000;32
240119;013000;41.160.3000000;41.338.7000000;41.146.8000000;41.276.3000000;33
240119;014500;41.276.3000000;41.325.0000000;41.251.4000000;41.320.9000000;33
240119;020000;41.320.8000000;41.320.9000000;41.174.5000000;41.178.0000000;25
240119;021500;41.178.0000000;41.309.1000000;41.178.0000000;41.301.8000000;12
240119;023000;41.301.7000000;41.316.9000000;41.244.8000000;41.278.1000000;12
240119;024500;41.282.3000000;41.295.4000000;41.250.0000000;41.264.7000000;14
240119;030000;41.264.8000000;41.320.9000000;41.201.0000000;41.212.7000000;31
240119;031500;41.212.6000000;41.248.7000000;41.114.2000000;41.120.1000000;19
240119;033000;41.120.0000000;41.282.6000000;41.099.3000000;41.250.9000000;75
240119;034500;41.251.0000000;41.302.2000000;41.250.9000000;41.265.0000000;16
240119;040000;41.265.0000000;41.287.9000000;41.200.0000000;41.238.1000000;7
240119;041500;41.238.1000000;41.255.1000000;41.118.6000000;41.118.7000000;10
240119;043000;41.116.1000000;41.248.5000000;41.094.8000000;41.248.4000000;5
240119;044500;41.248.4000000;41.258.0000000;41.248.4000000;41.257.9000000;4
240119;050000;41.257.9000000;41.257.9000000;41.178.2000000;41.196.7000000;30
240119;051500;41.196.8000000;41.196.8000000;41.162.9000000;41.163.0000000;19
240119;053000;41.163.0000000;41.163.0000000;41.056.1000000;41.056.2000000;34
240119;054500;41.056.3000000;41.091.5000000;41.047.9000000;41.080.5000000;42
240119;060000;41.080.5000000;41.086.0000000;41.005.0000000;41.035.3000000;36
240119;061500;41.035.0000000;41.057.2000000;40.900.0000000;40.900.1000000;22
240119;063000;40.900.1000000;40.952.0000000;40.723.6000000;40.952.0000000;41
240119;064500;40.952.0000000;41.000.0000000;40.916.0000000;41.000.0000000;39
240119;070000;41.000.0000000;41.027.4000000;40.999.9000000;41.027.4000000;12
240119;071500;41.027.4000000;41.157.8000000;41.027.3000000;41.148.5000000;107
240119;073000;41.148.5000000;41.158.8000000;41.072.0000000;41.080.4000000;87
240119;074500;41.080.5000000;41.113.4000000;41.050.0000000;41.053.7000000;54
240119;080000;41.053.8000000;41.130.3000000;41.027.3000000;41.121.5000000;3
240119;081500;41.121.6000000;41.148.2000000;41.101.6000000;41.148.1000000;7
240119;083000;41.148.1000000;41.189.5000000;41.120.4000000;41.141.0000000;7
240119;084500;41.150.0000000;41.173.9000000;41.141.6000000;41.153.9000000;2
240119;090000;41.154.0000000;41.205.0000000;41.154.0000000;41.205.0000000;12
240119;091500;41.205.0000000;41.249.6000000;41.193.6000000;41.217.7000000;33
240119;093000;41.225.4000000;41.305.0000000;41.225.3000000;41.305.0000000;18
240119;094500;41.304.9000000;41.470.1000000;41.304.9000000;41.437.6000000;57
240119;100000;41.437.6000000;41.535.3000000;41.359.8000000;41.359.8000000;154
240119;101500;41.359.8000000;41.445.6000000;41.359.8000000;41.403.1000000;9
240119;103000;41.403.0000000;41.403.0000000;41.313.9000000;41.313.9000000;9
240119;104500;41.314.0000000;41.314.0000000;41.229.7000000;41.229.8000000;21
240119;110000;41.229.8000000;41.256.9000000;41.102.0000000;41.128.4000000;32
240119;111500;41.128.4000000;41.185.7000000;41.107.2000000;41.139.0000000;25
240119;113000;41.136.2000000;41.164.1000000;41.136.2000000;41.153.3000000;8
240119;114500;41.153.3000000;41.323.3000000;41.153.3000000;41.257.9000000;26
240119;120000;41.257.9000000;41.349.1000000;41.252.7000000;41.349.0000000;8
240119;121500;41.349.1000000;41.410.8000000;41.254.8000000;41.254.8000000;12
240119;123000;41.260.0000000;41.268.1000000;41.201.6000000;41.268.0000000;14
240119;124500;41.268.0000000;41.365.4000000;41.268.0000000;41.365.4000000;9
240119;130000;41.358.7000000;41.410.1000000;41.355.7000000;41.396.1000000;9
240119;131500;41.393.8000000;41.419.6000000;41.356.6000000;41.371.8000000;10
240119;133000;41.380.5000000;41.399.9000000;41.300.0000000;41.315.1000000;3
240119;134500;41.321.0000000;41.426.6000000;41.307.0000000;41.426.6000000;6
240119;140000;41.426.7000000;41.442.3000000;41.421.8000000;41.426.7000000;4
240119;141500;41.426.6000000;41.476.8000000;41.366.9000000;41.443.4000000;76
240119;143000;41.442.1000000;41.470.9000000;41.374.0000000;41.374.1000000;3
240119;144500;41.374.1000000;41.450.8000000;41.348.8000000;41.437.7000000;2
240119;150000;41.436.2000000;41.446.9000000;41.368.1000000;41.368.1000000;3
240119;151500;41.350.1000000;41.350.1000000;41.289.5000000;41.289.5000000;24
240119;153000;41.291.5000000;41.348.9000000;41.275.0000000;41.275.0000000;12
240119;154500;41.275.1000000;41.286.0000000;41.230.4000000;41.286.0000000;15
240119;160000;41.286.1000000;41.317.6000000;41.262.5000000;41.278.2000000;23
240119;161500;41.278.4000000;41.381.3000000;41.275.4000000;41.372.3000000;11
240119;163000;41.372.3000000;41.372.4000000;41.262.5000000;41.262.9000000;6
240119;164500;41.262.7000000;41.344.2000000;41.262.5000000;41.344.2000000;2
240119;170000;41.344.2000000;41.394.1000000;41.294.7000000;41.300.1000000;14
